num_messages,num_messages,summary_len_words,total_words,avg_message_words,contains_urgent,contains_meeting,has_zoom,url_count,avg_sentiment
4,4,121,542,135.5,0,0,0,0,0.2571
4,4,65,151,37.75,0,1,0,0,0.51335
9,9,88,1218,135.33333333333334,0,1,0,0,0.8113111111111111
4,4,73,110,27.5,0,0,0,0,0.5496
4,4,95,513,128.25,0,0,0,0,0.63325
4,4,88,1499,374.75,0,0,0,0,0.9771
7,7,103,1318,188.28571428571428,1,1,0,0,0.9310857142857144
6,6,59,1192,198.66666666666666,1,0,0,1,0.7108833333333333
4,4,83,674,168.5,0,0,0,0,0.5710500000000001
9,9,75,773,85.88888888888889,1,0,0,0,0.20265555555555556
4,4,86,161,40.25,0,0,0,0,0.721
5,5,79,45,9.0,0,0,0,0,-0.15355999999999997
4,4,160,55,13.75,0,0,0,0,0.2202
7,7,79,1329,189.85714285714286,0,0,0,0,0.8309285714285715
4,4,80,656,164.0,0,0,0,0,0.93915
5,5,45,283,56.6,1,0,0,0,0.46646
4,4,59,571,142.75,0,0,0,0,0.9662499999999999
6,6,60,660,110.0,0,1,0,0,0.8689
6,6,71,61,10.166666666666666,0,1,0,0,0.2982
4,4,79,111,27.75,0,0,0,0,0.3362
5,5,105,3173,634.6,1,1,0,3,0.9982199999999999
7,7,60,279,39.857142857142854,0,0,0,0,0.027214285714285722
8,8,91,825,103.125,1,0,0,0,0.74035
4,4,164,537,134.25,0,1,0,0,0.7329
5,5,77,1585,317.0,0,0,0,0,0.9725199999999999
4,4,53,6,1.5,0,0,0,0,0.184
6,6,91,595,99.16666666666667,0,0,0,0,0.5594333333333333
6,6,92,381,63.5,0,0,0,0,0.8441000000000001
10,10,108,1014,101.4,0,1,0,0,0.97865
4,4,106,256,64.0,1,0,0,0,0.47062499999999996
5,5,63,1040,208.0,0,0,0,0,0.9251000000000001
4,4,63,66,16.5,0,0,0,0,0.314125
8,8,50,184,23.0,1,0,0,8,0.7089
6,6,85,185,30.833333333333332,1,0,0,0,0.15421666666666667
4,4,59,573,143.25,0,0,0,0,0.7827
4,4,78,141,35.25,0,0,0,0,0.681525
6,6,55,113,18.833333333333332,0,0,0,0,0.2694833333333333
5,5,91,522,104.4,1,1,0,0,0.35662
5,5,78,3352,670.4,0,0,0,0,0.9143399999999999
5,5,97,3323,664.6,0,1,0,0,0.99354
4,4,157,759,189.75,0,0,0,0,0.7801750000000001
7,7,79,315,45.0,0,0,0,0,0.13801428571428573
5,5,111,322,64.4,1,1,0,0,0.3021
5,5,71,379,75.8,0,0,0,4,0.10619999999999999
6,6,43,301,50.166666666666664,0,0,0,0,0.41385000000000005
7,7,96,602,86.0,1,0,0,0,-0.06712857142857143
5,5,68,547,109.4,0,0,0,0,0.94282
5,5,76,756,151.2,0,0,0,0,0.95702
4,4,44,343,85.75,0,1,0,0,0.79775
4,4,49,682,170.5,1,0,0,0,0.9531999999999999
4,4,40,49,12.25,0,0,0,0,0.40585
6,6,91,2570,428.3333333333333,0,1,0,0,0.9513333333333334
4,4,53,101,25.25,0,0,0,0,0.1591
4,4,110,1690,422.5,1,1,0,0,0.7675000000000001
6,6,87,318,53.0,0,1,0,0,0.3838333333333333
10,10,44,474,47.4,0,1,0,0,-0.012879999999999992
7,7,81,59,8.428571428571429,0,0,0,0,0.1374142857142857
5,5,88,394,78.8,0,1,0,0,0.94532
4,4,69,393,98.25,1,0,0,3,-0.06617499999999996
5,5,81,2611,522.2,1,1,0,0,0.28709999999999997
6,6,80,389,64.83333333333333,0,0,0,0,-0.6966333333333333
6,6,53,211,35.166666666666664,1,0,0,0,0.4202166666666667
7,7,74,103,14.714285714285714,0,1,0,0,0.19037142857142855
4,4,40,13,3.25,0,0,0,1,0.0
4,4,79,75,18.75,0,0,0,0,0.0
4,4,134,5606,1401.5,0,0,0,0,0.70285
5,5,74,579,115.8,0,0,0,0,0.80108
4,4,75,0,0.0,0,0,0,0,0.0
5,5,164,2242,448.4,0,0,0,0,0.5905199999999999
